Country,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
USA,"380,743","14,137","11,907","1,048","21,309","1,736","347,527","9,104 (3%)","347,527",3%,"1,996,556","83,088"
USA,"140,511","3,836","13,897",556,"43,208","2,771","83,406","7,069 (8%)","83,406",10%,"355,000",0
USA,"135,586","3,039","17,127",604,"24,392","1,555","94,067","3,792 (4%)","94,067",13%,"755,445","33,713"
USA,"105,604","2,230","1,905",95,"36,081","7,381","67,618","4,895 (7%)","67,618",2%,"918,460",0
USA,"98,010","5,171","8,911",833,"17,250","1,067","71,849","7,072 (10%)","71,849",9%,"224,254",0
USA,"82,699",53,"3,335",0,"77,391",100,"1,973",211 (11%),"1,973",4%,0,0
USA,"62,589","2,089","3,872",133,"27,039","2,803","31,678","3,987 (13%)","31,678",6%,"211,136","25,136"
USA,"55,918","3,661","6,170",786,320,33,"49,428","1,559 (3%)","49,428",11%,"266,694","13,736"
USA,"30,217","3,148",649,75,"1,326",284,"28,242","1,415 (5%)","28,242",2%,"202,845","21,400"
USA,"22,242",585,821,56,"8,056",0,"13,365",391 (3%),"13,365",4%,"167,429","4,929"
USA,"22,194","1,380","2,035",403,"4,157",171,"16,002","1,260 (8%)","16,002",9%,"80,512","10,512"
USA,"19,688",777,"2,107",234,253,0,"17,328","1,424 (8%)","17,328",11%,"86,589",0
USA,"17,063",396,345,7,"3,796",180,"12,922",426 (3%),"12,922",2%,"330,901",0
USA,"12,599",302,243,23,"4,046",583,"8,310",243 (3%),"8,310",2%,"115,235","3,939"
USA,"12,442",712,345,34,184,44,"11,913",271 (2%),"11,913",3%,"121,256","11,256"
USA,"12,345",162,581,17,127,0,"11,637",296 (3%),"11,637",5%,"54,824",0
USA,"10,331",47,192,6,"6,694",96,"3,445",55 (2%),"3,445",2%,"461,233",0
USA,"9,006",102,61,4,683,98,"8,262",153 (2%),"8,262",1%,"109,724",0
USA,"7,693",487,591,114,205,0,"6,897",640 (9%),"6,897",8%,"54,700","17,800"
USA,"7,497","1,154",58,11,494,88,"6,945",8 (0%),"6,945",1%,"795,000","37,000"
USA,"5,919",24,48,7,"2,547",115,"3,324",93 (3%),"3,324",1%,"310,700","7,164"
USA,"5,869",4,88,12,32,0,"5,749",83 (1%),"5,749",2%,"113,896","2,597"
USA,"5,364",370,174,16,25,0,"5,165",165 (3%),"5,165",3%,"30,213",0
USA,"5,255",391,203,16,"1,611",126,"3,441",127 (4%),"3,441",4%,"52,936",0
USA,"5,172",394,150,14,421,46,"4,601",0 (0%),"4,601",3%,"140,293",0
USA,"5,116",301,43,6,898,170,"4,175",337 (8%),"4,175",1%,"57,122","2,258"
USA,"4,944",122,88,10,172,51,"4,684",86 (2%),"4,684",2%,"91,247","6,233"
USA,"4,666",253,129,22,191,29,"4,346",50 (1%),"4,346",3%,"92,215","6,748"
USA,"4,417",360,197,21,460,54,"3,760",274 (7%),"3,760",4%,"43,578","2,591"
USA,"4,009",243,56,3,429,170,"3,524",28 (1%),"3,524",1%,"39,183","3,308"
USA,"3,963",170,63,1,"1,321",80,"2,579",92 (4%),"2,579",2%,"55,566",0
USA,"3,906",252,92,7,592,17,"3,222",79 (2%),"3,222",2%,"46,172",0
USA,"3,764",104,177,14,84,11,"3,503",1 (0%),"3,503",5%,"22,958",0
USA,"3,747",101,191,11,100,0,"3,456",156 (5%),"3,456",5%,"13,039",653
USA,"2,970",127,44,3,500,0,"2,426",35 (1%),"2,426",1%,"25,702","1,411"
USA,"2,795",190,41,3,615,64,"2,139",41 (2%),"2,139",1%,0,0
USA,"2,738",247,221,12,204,12,"2,313",0 (0%),"2,313",8%,"14,354","2,894"
USA,"2,561",280,92,9,997,8,"1,472",89 (6%),"1,472",4%,"20,414","1,004"
USA,"2,447",247,61,3,118,0,"2,268",109 (5%),"2,268",2%,"9,626","1,074"
USA,"2,439",296,125,31,633,0,"1,681",89 (5%),"1,681",5%,"20,475","2,441"
USA,"2,308",132,34,7,300,0,"1,974",81 (4%),"1,974",1%,"34,900","2,100"
USA,"2,258",38,27,1,888,95,"1,343",61 (5%),"1,343",1%,"71,860","46,789"
USA,"2,100",299,55,9,14,1,"2,031",88 (4%),"2,031",3%,"10,297","1,041"
USA,"2,076",277,11,1,167,23,"1,898",1 (0%),"1,898",1%,"220,000",0
USA,"2,057",225,6,2,150,19,"1,901",37 (2%),"1,901",0%,"41,818","3,710"
USA,"1,956",128,98,12,33,0,"1,825",147 (8%),"1,825",5%,"4,542",0
USA,"1,832",77,81,2,269,0,"1,482",90 (6%),"1,482",4%,"26,193",0
USA,"1,749",63,13,1,95,0,"1,641",7 (0%),"1,641",1%,"58,098",0
USA,"1,628",74,55,7,338,13,"1,235",96 (8%),"1,235",3%,"11,778","1,069"
USA,"1,586",24,6,0,559,99,"1,021",11 (1%),"1,021",0%,"28,991","1,111"
USA,"1,579",94,46,11,88,0,"1,445",50 (3%),"1,445",3%,"27,685","3,979"
USA,"1,481",106,6,0,377,33,"1,098",29 (3%),"1,098",0%,"65,000",0
USA,"1,468",45,193,20,113,23,"1,162",46 (4%),"1,162",13%,"3,359",0
USA,"1,462",143,45,7,28,0,"1,389",16 (1%),"1,389",3%,"6,385",521
USA,"1,322",149,85,7,259,12,978,0 (0%),978,6%,"25,000",0
USA,"1,282",60,18,2,167,37,"1,097",35 (3%),"1,097",1%,"12,322",858
USA,"1,160",54,1,0,241,65,918,14 (2%),918,0%,"42,826","2,908"
USA,"1,149",41,21,2,69,7,"1,059",12 (1%),"1,059",2%,"23,546","1,680"
USA,"1,141",21,83,3,88,7,970,1 (0%),970,7%,"5,272",168
USA,"1,122",91,65,1,373,29,684,0 (0%),684,6%,"26,331","26,331"
USA,"1,059",38,36,6,102,0,921,30 (3%),921,3%,"29,455","1,202"
USA,"1,056",91,22,3,40,3,994,80 (8%),994,2%,"5,108","5,108"
USA,936,21,4,0,236,20,696,12 (2%),696,0%,"96,709",0
USA,880,37,15,0,8,0,857,11 (1%),857,2%,"27,807","2,208"
USA,861,161,13,0,54,1,794,31 (4%),794,2%,"43,000","3,000"
USA,853,20,8,0,87,25,758,30 (4%),758,1%,"5,140",211
USA,817,73,47,9,71,4,699,17 (2%),699,6%,"23,746","1,464"
USA,811,55,4,0,458,0,349,4 (1%),349,0%,"47,684",0
USA,754,80,33,4,68,21,653,4 (1%),653,4%,"5,934",0
USA,743,78,1,0,105,2,637,23 (4%),637,0%,0,0
USA,717,76,8,1,44,0,665,23 (3%),665,1%,"53,300","8,300"
USA,712,0,11,0,619,0,82,10 (12%),82,2%,0,0
USA,685,23,6,0,50,4,629,16 (3%),629,1%,"54,767","49,674"
USA,658,8,9,0,17,0,632,0 (0%),632,1%,0,0
USA,599,29,26,3,30,0,543,15 (3%),543,4%,"5,879",588
USA,596,22,22,0,5,0,569,39 (7%),569,4%,"7,725",580
USA,581,47,2,0,13,5,566,3 (1%),566,0%,"17,639","1,448"
USA,577,28,23,1,42,3,512,21 (4%),512,4%,"15,899",0
USA,548,6,2,1,16,0,530,5 (1%),530,0%,"22,575","1,122"
USA,548,7,19,0,62,2,467,29 (6%),467,3%,"10,221",568
USA,525,24,21,3,31,5,473,12 (3%),473,4%,0,0
USA,504,47,2,0,30,0,472,8 (2%),472,0%,0,0
USA,494,29,9,0,47,2,438,13 (3%),438,2%,"13,017","1,353"
USA,467,13,2,0,18,2,447,14 (3%),447,0%,"5,363",265
USA,423,56,14,3,18,0,391,0 (0%),391,3%,0,0
USA,415,9,6,0,123,19,286,14 (5%),286,1%,"5,385",177
USA,396,46,11,2,27,9,358,12 (3%),358,3%,"7,054","1,820"
USA,383,6,22,1,131,15,230,7 (3%),230,6%,"2,753",182
USA,376,3,5,0,61,4,310,0 (0%),310,1%,"39,011","1,792"
USA,371,40,2,0,67,6,302,3 (1%),302,1%,0,0
USA,364,19,18,1,108,18,238,0 (0%),238,5%,0,0
USA,349,4,6,1,126,16,217,5 (2%),217,2%,"17,000","17,000"
USA,349,5,0,0,40,0,309,4 (1%),309,0%,0,0
USA,335,12,7,0,34,7,294,0 (0%),294,2%,"1,157",0
USA,323,62,3,0,41,4,279,0 (0%),279,1%,0,0
USA,305,7,22,0,6,0,277,10 (4%),277,7%,0,0
USA,293,52,0,0,5,0,288,4 (1%),288,0%,"10,923",0
USA,287,73,5,0,31,0,251,2 (1%),251,2%,0,0
USA,277,11,32,0,35,0,210,14 (7%),210,12%,586,0
USA,268,24,7,0,8,1,253,3 (1%),253,3%,"4,913",0
USA,261,7,1,0,42,18,218,0 (0%),218,0%,"15,140","2,402"
USA,253,69,10,0,26,13,217,0 (0%),217,4%,"4,081",69
USA,249,4,0,0,123,28,126,8 (6%),126,0%,"106,399","12,094"
USA,241,8,2,0,4,3,235,7 (3%),235,1%,"1,722",0
USA,238,6,5,0,35,2,198,2 (1%),198,2%,"5,000","1,000"
USA,237,11,2,0,105,13,130,1 (1%),130,1%,0,0
USA,228,12,4,0,33,0,191,5 (3%),191,2%,"9,618",0
USA,195,7,3,1,46,7,146,6 (4%),146,2%,"2,762",0
USA,194,11,14,3,2,0,178,3 (2%),178,7%,591,0
USA,185,7,6,1,42,4,137,5 (4%),137,3%,"3,248",0
USA,184,1,0,0,120,13,64,2 (3%),64,0%,"5,035",101
USA,172,14,6,0,7,3,159,2 (1%),159,3%,"4,973",696
USA,165,6,7,0,65,13,93,6 (6%),93,4%,"1,779",0
USA,164,17,2,0,15,1,147,3 (2%),147,1%,479,0
USA,164,41,17,5,33,0,114,1 (1%),114,10%,"4,289",679
USA,161,7,18,0,5,2,138,0 (0%),138,11%,0,0
USA,151,2,4,0,50,0,97,20 (21%),97,3%,0,0
USA,150,11,1,0,73,18,76,6 (8%),76,1%,"1,669",31
USA,145,0,1,0,23,0,121,0 (0%),121,1%,0,0
USA,139,4,7,0,31,0,101,14 (14%),101,5%,0,0
USA,135,0,1,0,82,9,52,3 (6%),52,1%,"8,261",132
USA,128,7,0,0,5,0,123,0 (0%),123,0%,0,0
USA,115,1,0,0,58,5,57,1 (2%),57,0%,"5,768",0
USA,115,2,5,0,15,3,95,1 (1%),95,4%,"2,039",162
USA,113,4,0,0,60,8,53,0 (0%),53,0%,"1,440",53
USA,106,1,8,0,1,0,97,0 (0%),97,8%,870,37
USA,105,1,0,0,4,0,101,0 (0%),101,0%,0,0
USA,90,31,0,0,9,0,81,0 (0%),81,0%,0,0
USA,82,10,0,0,2,0,80,6 (8%),80,0%,0,0
USA,78,9,4,0,5,0,69,4 (6%),69,5%,0,0
USA,77,4,1,0,4,1,72,4 (6%),72,1%,0,0
USA,77,7,3,0,17,2,57,3 (5%),57,4%,"1,134",0
USA,77,0,1,0,55,55,21,0 (0%),21,1%,900,0
USA,72,4,0,0,34,7,38,1 (3%),38,0%,0,0
USA,71,7,0,0,2,1,69,0 (0%),69,0%,910,41
USA,65,7,3,0,23,0,39,0 (0%),39,5%,"1,617",150
USA,60,4,2,1,6,0,52,4 (8%),52,3%,557,30
USA,59,1,3,0,8,0,48,0 (0%),48,5%,540,0
USA,56,9,5,0,12,3,39,0 (0%),39,9%,0,0
USA,52,8,2,0,4,0,46,1 (2%),46,4%,"2,271",428
USA,45,0,5,0,2,0,38,0 (0%),38,11%,0,0
USA,44,0,0,0,10,0,34,1 (3%),34,0%,0,0
USA,39,2,2,2,17,3,20,0 (0%),20,5%,298,0
USA,39,0,1,0,5,2,33,0 (0%),33,3%,619,0
USA,39,0,1,0,1,0,37,0 (0%),37,3%,365,0
USA,37,12,6,2,1,0,30,0 (0%),30,16%,105,23
USA,33,4,5,0,5,1,23,1 (4%),23,15%,0,0
USA,32,0,2,0,7,0,23,6 (26%),23,6%,0,0
USA,31,7,4,0,8,8,19,8 (42%),19,13%,115,22
USA,30,6,1,0,1,0,28,0 (0%),28,3%,0,0
USA,26,4,1,1,5,0,20,0 (0%),20,4%,0,0
USA,25,1,1,0,0,0,24,0 (0%),24,4%,257,10
USA,24,2,1,0,3,0,20,0 (0%),20,4%,0,0
USA,22,1,1,0,0,0,21,0 (0%),21,5%,"1,246","1,246"
USA,19,1,1,0,1,1,17,0 (0%),17,5%,312,18
USA,19,0,0,0,13,0,6,0 (0%),6,0%,0,0
USA,19,0,2,0,2,0,15,0 (0%),15,11%,0,0
USA,18,0,0,0,1,0,17,0 (0%),17,0%,"2,135",152
USA,16,0,0,0,3,2,13,0 (0%),13,0%,854,854
USA,16,0,0,0,3,0,13,0 (0%),13,0%,362,61
USA,16,2,2,0,2,0,12,0 (0%),12,13%,0,0
USA,15,1,0,0,2,0,13,0 (0%),13,0%,0,0
USA,15,1,0,0,1,1,14,0 (0%),14,0%,293,38
USA,14,2,2,0,2,0,10,0 (0%),10,14%,0,0
USA,14,0,0,0,1,0,13,0 (0%),13,0%,0,0
USA,14,1,3,0,3,0,8,0 (0%),8,21%,0,0
USA,13,2,1,0,5,0,7,0 (0%),7,8%,0,0
USA,11,0,0,0,4,1,7,0 (0%),7,0%,718,176
USA,10,0,1,0,0,0,9,0 (0%),9,10%,0,0
USA,10,1,1,0,0,0,9,0 (0%),9,10%,316,0
USA,10,1,0,0,4,4,6,0 (0%),6,0%,0,0
USA,10,0,0,0,1,0,9,0 (0%),9,0%,363,25
USA,10,1,0,0,2,2,8,0 (0%),8,0%,0,0
USA,9,0,2,0,0,0,7,0 (0%),7,22%,0,0
USA,9,0,0,0,1,0,8,0 (0%),8,0%,"1,656",135
USA,8,3,1,1,0,0,7,1 (14%),7,13%,0,0
USA,8,3,1,0,0,0,7,0 (0%),7,13%,61,61
USA,7,2,1,1,0,0,6,1 (17%),6,14%,268,166
USA,7,0,1,0,1,1,5,0 (0%),5,14%,0,0
USA,7,0,0,0,1,0,6,0 (0%),6,0%,0,0
USA,6,0,1,0,0,0,5,0 (0%),5,17%,966,0
USA,6,0,1,0,2,0,3,0 (0%),3,17%,67,0
USA,6,0,0,0,1,0,5,0 (0%),5,0%,0,0
USA,6,0,1,0,0,0,5,0 (0%),5,17%,0,0
USA,5,0,0,0,2,0,3,0 (0%),3,0%,0,0
USA,4,0,1,0,2,0,1,0 (0%),1,25%,0,0
